neuronId,neuronName,className
154,OLQDL,OLQ
155,OLQDR,OLQ
156,OLQVL,OLQ
157,OLQVR,OLQ
158,PDA,PDA
159,PDB,PDB
160,PDEL,PDE
161,PDER,PDE
162,PHAL,PHA
163,PHAR,PHA
164,PHBL,PHB
165,PHBR,PHB
166,PHCL,PHC
167,PHCR,PHC
168,PLML,PLM
169,PLMR,PLM
170,PLNL,PLN
171,PLNR,PLN
172,PQR,PQR
173,PVCL,PVC
174,PVCR,PVC
175,PVDL,PVD
176,PVDR,PVD
177,PVM,PVM
178,PVNL,PVN
179,PVNR,PVN
180,PVPL,PVP
181,PVPR,PVP
182,PVQL,PVQ
183,PVQR,PVQ
184,PVR,PVR
185,PVT,PVT
186,PVWL,PVW
187,PVWR,PVW
188,RIAL,RIA
189,RIAR,RIA
190,RIBL,RIB
191,RIBR,RIB
192,RICL,RIC
193,RICR,RIC
194,RID,RID
195,RIFL,RIF
196,RIFR,RIF
197,RIGL,RIG
198,RIGR,RIG
199,RIH,RIH
200,RIML,RIM
201,RIMR,RIM
202,RIPL,RIP
203,RIPR,RIP
204,RIR,RIR
205,RIS,RIS
206,RIVL,RIV
207,RIVR,RIV
208,RMDDL,RMD
209,RMDDR,RMD
210,RMDL,RMD
211,RMDR,RMD
212,RMDVL,RMD
213,RMDVR,RMD
214,RMED,RME
215,RMEV,RME
216,RMEL,RME
217,RMER,RME
218,RMFL,RMF
219,RMFR,RMF
220,RMGL,RMG
221,RMGR,RMG
222,RMHL,RMH
223,RMHR,RMH
224,SAADL,SAA
225,SAADR,SAA
226,SAAVL,SAA
227,SAAVR,SAA
228,SABD,SAB
229,SABVL,SAB
230,SABVR,SAB
231,SDQL,SDQ
232,SDQR,SDQ
233,SIADL,SIA
234,SIADR,SIA
235,SIAVL,SIA
236,SIAVR,SIA
237,SIBDL,SIB
238,SIBDR,SIB
239,SIBVL,SIB
240,SIBVR,SIB
241,SMBDL,SMB
242,SMBDR,SMB
243,SMBVL,SMB
244,SMBVR,SMB
245,SMDDL,SMD
246,SMDDR,SMD
247,SMDVL,SMD
248,SMDVR,SMD
249,URADL,URA
250,URADR,URA
251,URAVL,URA
252,URAVR,URA
253,URBL,URB
254,URBR,URB
255,URXL,URX
256,URXR,URX
257,URYDL,URY
258,URYDR,URY
259,URYVL,URY
260,URYVR,URY
261,VA01,VA
262,VA02,VA
263,VA03,VA
264,VA04,VA
265,VA05,VA
266,VA06,VA
267,VA07,VA
268,VA08,VA
269,VA09,VA
270,VA10,VA
271,VA11,VA
272,VA12,VA
273,VB01,VB
274,VB02,VB
275,VB03,VB
276,VB04,VB
277,VB05,VB
278,VB06,VB
279,VB07,VB
280,VB08,VB
281,VB09,VB
282,VB10,VB
283,VB11,VB
284,VC01,VC
285,VC02,VC
286,VC03,VC
287,VC04,VC
288,VC05,VC
289,VC06,VC
290,VD01,VD
291,VD02,VD
292,VD03,VD
293,VD04,VD
294,VD05,VD
295,VD06,VD
296,VD07,VD
297,VD08,VD
298,VD09,VD
299,VD10,VD
300,VD11,VD
301,VD12,VD
302,VD13,VD
